i,j,dm32_no,precision,bf,log10_bf,sigma,rmse,rmse_sigma,frac_rmse,frac_sigma
1,18,2.212903,0.664516,-1077.270668,-3.032325,-3.311669,171.100009,2.758284,0.158827,0.832898
1,19,2.212903,0.690323,-920.154861,-2.963861,-3.267350,130.825100,2.669970,0.142177,0.817167
1,20,2.212903,0.716129,-799.548369,-2.902845,-3.227414,100.998161,2.582663,0.126319,0.800227
1,21,2.212903,0.741935,-704.873701,-2.848111,-3.191230,78.728783,2.496501,0.111692,0.782301
1,22,2.212903,0.767742,-628.886660,-2.798572,-3.158178,62.009461,2.411877,0.098602,0.763693
1,23,2.212903,0.793548,-566.555458,-2.753242,-3.127676,49.431747,2.329572,0.087250,0.744825
1,24,2.212903,0.819355,-514.343506,-2.711253,-3.099198,39.976842,2.250708,0.077724,0.726223
1,25,2.212903,0.845161,-469.743576,-2.671861,-3.072281,32.872646,2.176440,0.069980,0.708412
1,26,2.212903,0.870968,-430.968809,-2.634446,-3.046532,27.508856,2.107470,0.063830,0.691761
1,27,2.212903,0.896774,-396.741993,-2.598508,-3.021628,23.397625,2.043655,0.058974,0.676342
1,28,2.212903,0.922581,-366.147632,-2.563656,-2.997314,20.160583,1.983984,0.055061,0.661920
1,29,2.212903,0.948387,-338.525860,-2.529592,-2.973392,17.521832,1.926914,0.051759,0.648053
1,30,2.212903,0.974194,-313.395852,-2.496093,-2.949712,15.294853,1.870827,0.048804,0.634241
1,31,2.212903,1.000000,-290.401000,-2.462998,-2.926164,13.362637,1.814342,0.046014,0.620041
2,0,2.225806,0.200000,-25755105.579526,-7.410863,-5.496104,23753823.207706,5.481815,0.922296,0.997400
2,1,2.225806,0.225806,-1291187.770005,-6.110989,-4.941691,1139961.991960,4.917353,0.882879,0.995075
2,2,2.225806,0.251613,-150672.257393,-5.178033,-4.505013,119596.999407,4.455717,0.793756,0.989057
2,3,2.225806,0.277419,-34461.916218,-4.537339,-4.181049,22112.967802,4.079049,0.641664,0.975604
2,4,2.225806,0.303226,-12968.580585,-4.112892,-3.953229,6197.303818,3.772941,0.477871,0.954395
2,5,2.225806,0.329032,-6655.349157,-3.823171,-3.790685,2411.948972,3.530720,0.362408,0.931420
2,6,2.225806,0.354839,-4082.015172,-3.610875,-3.667517,1219.109039,3.346090,0.298654,0.912358
2,7,2.225806,0.380645,-2789.990369,-3.445603,-3.569037,751.617516,3.209709,0.269398,0.899321
2,8,2.225806,0.406452,-2044.680610,-3.310625,-3.486801,520.286953,3.102594,0.254459,0.889811
2,9,2.225806,0.432258,-1573.171524,-3.196776,-3.416098,377.875896,3.006886,0.240200,0.880211
2,10,2.225806,0.458065,-1256.818113,-3.099272,-3.354520,279.164869,2.913910,0.222120,0.868652
2,11,2.225806,0.483871,-1036.095832,-3.015400,-3.300761,207.908944,2.821043,0.200666,0.854665
2,12,2.225806,0.509677,-877.373733,-2.943185,-3.253864,155.944929,2.728015,0.177741,0.838393
2,13,2.225806,0.535484,-760.059276,-2.880847,-3.212914,117.942155,2.635253,0.155175,0.820207
2,14,2.225806,0.561290,-670.933293,-2.826679,-3.176966,90.103352,2.543445,0.134296,0.800589
2,15,2.225806,0.587097,-601.278000,-2.779075,-3.145089,69.708520,2.453622,0.115934,0.780144
2,16,2.225806,0.612903,-545.249006,-2.736595,-3.116411,54.814757,2.367341,0.100532,0.759637
2,17,2.225806,0.638710,-498.886791,-2.698002,-3.090165,44.006677,2.286604,0.088210,0.739962
2,18,2.225806,0.664516,-459.492398,-2.662278,-3.065703,36.205475,2.213288,0.078795,0.721951
2,19,2.225806,0.690323,-425.221763,-2.628615,-3.042503,30.552614,2.148260,0.071851,0.706083
2,20,2.225806,0.716129,-394.815009,-2.596394,-3.020157,26.363843,2.090816,0.066775,0.692287
2,21,2.225806,0.741935,-367.411366,-2.565153,-2.998361,23.121936,2.038940,0.062932,0.680018
2,22,2.225806,0.767742,-342.420674,-2.534560,-2.976890,20.469502,1.990120,0.059779,0.668523
